"Munic�pio";"Popula��o_residente"
"220370 ESPERANTINA";39737
"220375 FARTURA DO PIAUI";5307
"220380 FLORES DO PIAUI";4463
"220385 FLORESTA DO PIAUI";2558
"220390 FLORIANO";59935
"220400 FRANCINOPOLIS";5348
"220410 FRANCISCO AYRES";4348
"220415 FRANCISCO MACEDO";3184
"220420 FRANCISCO SANTOS";9319
"220430 FRONTEIRAS";11625
"220435 GEMINIANO";5442
"220440 GILBUES";10690
"220450 GUADALUPE";10499
"220455 GUARIBAS";4562
"220460 HUGO NAPOLEAO";3877
"220465 ILHA GRANDE";9426
"220470 INHUMA";15308
"220480 IPIRANGA DO PIAUI";9811
"220490 ISAIAS COELHO";8549
"220500 ITAINOPOLIS";11530
"220510 ITAUEIRA";11019
